Abbau|NN	-0.058	Abbaus,Abbaues,Abbauen,Abbaue
Anomalie|NN	-0.0048	Anomalien
Anspannung|NN	-0.0048	Anspannungen
Anstrengung|NN	-0.0048	Anstrengungen
Antipathie|NN	-0.0048	Antipathien
Arbeitslose|NN	-0.3549	Arbeitslosen
Arbeitslosigkeit|NN	-0.3654
Armut|NN	-0.2038
Arroganz|NN	-0.3289
Arschloch|NN	-0.1901	Arschlöcher,Arschlochs,Arschlöchern,Arschloches
Attacke|NN	-0.47	Attacken
Aufhebung|NN	-0.0048	Aufhebungen
Auflösung|NN	-0.0048	Auflösungen
Aufregung|NN	-0.0386	Aufregungen
Aufruhr|NN	-0.0048	Aufruhre,Aufruhrs,Aufruhren,Aufruhres
Aufschrei|NN	-0.0048	Aufschreien,Aufschreis,Aufschreie,Aufschreies
Aufstand|NN	-0.0048	Aufstandes,Aufstände,Aufstands,Aufstanden,Aufständen,Aufstande
Ausbeute|NN	-0.1894	Ausbeuten
Ausbeuter|NN	-0.0048	Ausbeuters,Ausbeutern
Ausbeutung|NN	-0.0048	Ausbeutungen
Ausbruch|NN	-0.0048	Ausbruchs,Ausbruches,Ausbrüche,Ausbrüchen
Auseinandersetzung|NN	-0.0603	Auseinandersetzungen
Ausfall|NN	-0.2164	Ausfällen,Ausfälle,Ausfalles,Ausfalls
Ausgrenzung|NN	-0.626
Auslöschung|NN	-0.0048	Auslöschungen
Ausrottung|NN	-0.0048	Ausrottungen
Ausschließung|NN	-0.0048	Ausschließungen
Aussetzung|NN	-0.0048	Aussetzungen
Banalität|NN	-0.0048	Banalitäten
Bankrott|NN	-0.0048	Bankrotte,Bankrotts,Bankrottes,Bankrotten
Barriere|NN	-0.0048	Barrieren
Bedeutungslosigkeit|NN	-0.0048
Bedrohung|NN	-0.0048	Bedrohungen
Bedrängung|NN	-0.0048	Bedrängungen
Bedrückung|NN	-0.0435	Bedrückungen
Bedürftige|NN	-0.0048
Beeinträchtigung|NN	-0.3472	Beeinträchtigungen
Befall|NN	-0.0048	Befalls,Befälle,Befällen,Befalles
Befangenheit|NN	-0.0048	Befangenheiten
Befürchtung|NN	-0.4903	Befürchtungen
Begrenzung|NN	-0.0048	Begrenzungen
Behinderung|NN	-0.3578	Behinderungen
Belastung|NN	-0.3711	Belastungen
Beleidigung|NN	-0.3432	Beleidigungen
Belästigung|NN	-0.0048	Belästigungen
Beschneidung|NN	-0.3313	Beschneidungen
Beschränkung|NN	-0.3518	Beschränkungen
Beschuldigung|NN	-0.3209	Beschuldigungen
Beschwerde|NN	-0.0048	Beschwerden
Beschwerlichkeit|NN	-0.0048	Beschwerlichkeiten
Beschädigung|NN	-0.0048	Beschädigungen
Beschäftigungslose|NN	-0.0048
Beschäftigungsloser|NN	-0.0048
Beschämung|NN	-0.0048	Beschämungen
Beseitigung|NN	-0.0048	Beseitigungnen,Beseitigungen
Besorgnis|NN	-0.0048	Besorgnissen,Besorgnisse
Bestechung|NN	-0.0048	Bestechungen
Besteuerung|NN	-0.0048	Besteuerungen
Bestrafung|NN	-0.0048	Bestrafungen
Bestürzung|NN	-0.0048
Betrug|NN	-0.4913	Betrugs,Betruges
Betrüger|NN	-0.3311	Betrügers,Betrügern
Beule|NN	-0.0048	Beulen
Beunruhigung|NN	-0.324	Beunruhigungen
Bevormundung|NN	-0.0048	Bevormundungen
Bitterkeit|NN	-0.0048
Blindheit|NN	-0.0048
Blockade|NN	-0.0048	Blockaden
Blockierung|NN	-0.0048	Blockierungen
Blödheit|NN	-0.0048	Blödheiten
Bombardement|NN	-0.0048	Bombardements
Bombardierung|NN	-0.0048	Bombardierungen
Bombe|NN	-0.0048	Bomben
Bosheit|NN	-0.3371	Bosheiten
Brand|NN	-0.0048	Bränden,Brände,Brandes,Brands
Bruch|NN	-0.3463	Bruchs,Brüche,Bruches,Brüchen
Brutalität|NN	-0.0048	Brutalitäten
Bußgeld|NN	-0.3377	Bußgeldes,Bußgelds,Bußgelder,Bußgeldern
Bösartigkeit|NN	-0.3189
Bösewicht|NN	-0.0048	Bösewichten,Bösewichte,Bösewichts,Bösewichtes
Bürde|NN	-0.0524	Bürden
Chaos|NN	-0.3489
Crash|NN	-0.1885	Crashs
Defekt|NN	-0.0048	Defekten,Defekts,Defektes,Defekte
Defizit|NN	-0.347	Defiziten,Defizits,Defizite
Deformation|NN	-0.0048	Deformationen
Degradierung|NN	-0.3137	Degradierungen
Dekadenz|NN	-0.0048
Demütigung|NN	-0.0048	Demütigungen
Denkfehler|NN	-0.0048	Denkfehlern,Denkfehlers
Depression|NN	-0.4951	Depressionen
Desaster|NN	-0.3413	Desastern,Desasters
Desinteresse|NN	-0.3348	Desinteresses
Dezimierung|NN	-0.0048	Dezimierungen
Dieb|NN	-0.1962	Diebes,Diebs,Dieben,Diebe
Diebstahl|NN	-0.3505	Diebstahls,Diebstähle,Diebstahles,Diebstählen
Diffamierung|NN	-0.4591	Diffamierungen
Diktator|NN	-0.0048	Diktatoren,Diktators
Dilemma|NN	-0.3403	Dilemmas
Diskriminierung|NN	-0.0048	Diskriminierungen
Dissens|NN	-0.0048	Dissensen,Dissense,Dissenses
Dominierung|NN	-0.0048	Dominierungen
Doppeldeutigkeit|NN	-0.0048	Doppeldeutigkeiten
Doppelspiel|NN	-0.0048	Doppelspiele,Doppelspieles,Doppelspiels,Doppelspielen
Dreck|NN	-0.0048	Dreckes,Drecks
Drift|NN	-0.0048	Driften
Drohung|NN	-0.0048	Drohungen
Drosselung|NN	-0.3178	Drosselungen
Dummheit|NN	-0.4877	Dummheiten
Dummkopf|NN	-0.0048	Dummköpfen,Dummkopfes,Dummköpfe,Dummkopfs
Dunkelheit|NN	-0.3547	Dunkelheiten
Durcheinander|NN	-0.0048	Durcheinanders,Durcheinandern
Dussel|NN	-0.3094	Dussels,Dusseln
Dämpfer|NN	-0.0048	Dämpfern,Dämpfers
Dürre|NN	-0.0048	Dürren
Düsternis|NN	-0.0048	Düsternisen,Düsternise
Egoist|NN	-0.3179	Egoisten
Ehebruch|NN	-0.4743	Ehebruches,Ehebruchs,Ehebrüche,Ehebrüchen
Einbrecher|NN	-0.0048	Einbrechers,Einbrechern
Einbruch|NN	-0.3498	Einbrüche,Einbruches,Einbrüchen,Einbruchs
Einbuße|NN	-0.0048	Einbußen
Einsamkeit|NN	-0.339	Einsamkeiten
Einschlag|NN	-0.0048	Einschlägen,Einschlages,Einschläge,Einschlags
Einschränkung|NN	-0.2048	Einschränkungen
Einschüchterung|NN	-0.0048	Einschüchterungen
Einsturz|NN	-0.0048	Einstürzen,Einsturzs,Einsturzes,Einstürze
Ekel|NN	-0.462	Ekeln,Ekeles,Ekels
Elend|NN	-0.2013	Elends
Empörung|NN	-0.0048	Empörungen
Ende|NN	-0.2088	Endes,Enden
Energielosigkeit|NN	-0.0048
Entbindung|NN	-0.0048	Entbindungen
Entfremdung|NN	-0.0048	Entfremdungen
Entführung|NN	-0.0048	Entführungen
Enthauptung|NN	-0.0048	Enthauptungen
Entlassung|NN	-0.0048	Entlassungen
Entmutigung|NN	-0.0048	Entmutigungen
Enttäuschung|NN	-0.3378	Enttäuschungen
Entziehung|NN	-0.0048	Entziehungen
Epidemie|NN	-0.0048	Epidemien
Ermahnung|NN	-0.0048	Ermahnungen
Ermordung|NN	-0.332	Ermordungen
Ermüdung|NN	-0.0048	Ermüdungen
Erniedrigung|NN	-0.3259	Erniedrigungen
Ernüchterung|NN	-0.0048	Ernüchterungen
Erosion|NN	-0.0666	Erosionen
Erpressung|NN	-0.0048	Erpressungen
Erschöpfung|NN	-0.0595	Erschöpfungen
Erschütterung|NN	-0.0048	Erschütterungen
Explosion|NN	-0.0048	Explosionen
Fahrlässigkeit|NN	-0.0048	Fahrlässigkeiten
Farce|NN	-0.3349	Farcen
Faschist|NN	-0.0048	Faschisten
Faulheit|NN	-0.611
Fehde|NN	-0.0048	Fehden
Fehlanzeige|NN	-0.0048	Fehlanzeigen
Fehler|NN	-0.6752	Fehlern,Fehlers
Fehlermeldung|NN	-0.4765	Fehlermeldungen
Fehlkauf|NN	-0.0048	Fehlkaufes,Fehlkaufs,Fehlkäufe,Fehlkäufen
Fehlkonstruktion|NN	-0.0048	Fehlkonstruktionen
Fehlleistung|NN	-0.0048	Fehlleistungen
Fehltritt|NN	-0.0048	Fehltrittes,Fehltritten,Fehltritte,Fehltritts
Fehlverhalten|NN	-0.3461
Feind|NN	-0.8054	Feindes,Feinde,Feinds,Feinden
Feuer|NN	-0.0445	Feuern,Feuers
Fiasko|NN	-0.0048	Fiaskos
Finanzkrise|NN	-0.3283	Finanzkrisen
Finte|NN	-0.0048	Finten
Flaute|NN	-0.0413	Flauten
Fluch|NN	-0.3534	Fluchs,Flüchen,Flüche,Fluches
Flucht|NN	-0.0048	Fluchten
Flüchtiger|NN	-0.0048
Flüchtigkeit|NN	-0.0048	Flüchtigkeiten
Flüchtling|NN	-0.0048	Flüchtlings,Flüchtlinge,Flüchtlinges,Flüchtlingen
Frechheit|NN	-0.4665	Frechheiten
Frust|NN	-0.469	Frustes,Frusts
Frustration|NN	-0.3354	Frustrationen
Furcht|NN	-0.5012
Fälschung|NN	-0.3377	Fälschungen
Gammler|NN	-0.0048	Gammlers,Gammlern
Gangster|NN	-0.3375	Gangsters,Gangstern
Garnichts|NN	-0.0048
Gauner|NN	-0.4592	Gaunern,Gauners
Gebrechen|NN	-0.3251	Gebrechens
Gedränge|NN	-0.0571	Gedrängen,Gedränges
Gefahr|NN	-1.0	Gefahren
Gefecht|NN	-0.3373	Gefechten,Gefechtes,Gefechte,Gefechts
Gefährdung|NN	-0.0048	Gefährdungen
Gegner|NN	-0.344	Gegnern,Gegners
Geisteskrankheit|NN	-0.0048	Geisteskrankheiten
Geistlosigkeit|NN	-0.0048	Geistlosigkeiten
Geiz|NN	-0.0048	Geizen,Geizes,Geize,Geizs
Geizhals|NN	-0.0048	Geizhälsen,Geizhälse,Geizhalss,Geizhalses
Geizkragen|NN	-0.0048	Geizkragens
Geldstrafe|NN	-0.3299	Geldstrafen
Geschmacklosigkeit|NN	-0.0048	Geschmacklosigkeiten
Geschäftsauflösung|NN	-0.0048	Geschäftsauflösungen
Gestank|NN	-0.0048	Gestanks,Gestankes
Gewalt|NN	-0.5363	Gewalten
Gewalttätige|NN	-0.0048
Gewalttätiger|NN	-0.0048
Gift|NN	-0.3505	Gifts,Giftes,Giften,Gifte
Glanzlosigkeit|NN	-0.0048
Gleichgültigkeit|NN	-0.343
Glücklosigkeit|NN	-0.0048
Gnadenlosigkeit|NN	-0.0048
Grausamkeit|NN	-0.3348	Grausamkeiten
Groll|NN	-0.6021	Grolls,Grolles
Groteske|NN	-0.0048	Grotesken
Habgier|NN	-0.0532
Haft|NN	-0.0048	Hafte,Hafts,Haften,Haftes
Handgemenge|NN	-0.3174	Handgemenges,Handgemengen
Handicap|NN	-0.0426	Handicaps
Hass|NN	-0.5014	Hasss
Heimsuchung|NN	-0.0048	Heimsuchungen
Hektik|NN	-0.0048
Hemmung|NN	-0.0048	Hemmungen
Herausforderung|NN	-0.0048	Herausforderungen
Heuchelei|NN	-0.0048	Heucheleien
Heuchler|NN	-0.3251	Heuchlers,Heuchlern
Hilflosigkeit|NN	-0.3394
Hindernis|NN	-0.0048	Hinderniss,Hindernises,Hindernisses,Hindernise,Hindernisen,Hindernissen,Hindernisse
Hinterhalt|NN	-0.0048	Hinterhaltes,Hinterhalts,Hinterhalte,Hinterhalten
Hinterlist|NN	-0.0048
Hohn|NN	-0.0048	Hohnes,Hohns
Horror|NN	-0.0509	Horrors
Hunger|NN	-0.3531	Hungeres,Hungers
Hungersnot|NN	-0.4739	Hungersnöten,Hungersnöte
Hungertod|NN	-0.0048	Hungertods
Hysterie|NN	-0.3386	Hysterien
Härte|NN	-0.0446	Härten
Hölle|NN	-0.5052	Höllen
Idiot|NN	-0.0048	Idioten
Illegalität|NN	-0.0048	Illegalitäten
Immobilität|NN	-0.0048
Ineffizienz|NN	-0.0048	Ineffizienzen
Infektion|NN	-0.2059	Infektionen
Infiltration|NN	-0.0048	Infiltrationen
Inflation|NN	-0.3462	Inflationen
Inkompetenz|NN	-0.0048	Inkompetenzen
Inkonsequenz|NN	-0.0455	Inkonsequenzen
Inkonsistenz|NN	-0.3097
Instabilität|NN	-0.3358	Instabilitäten
Intervention|NN	-0.1975	Interventionen
Invasion|NN	-0.0048	Invasionen
Isolation|NN	-0.3453	Isolationen
Jammer|NN	-0.4613	Jammers,Jammeres
Jähzorn|NN	-0.0048
Kampf|NN	-0.5372
Kapitalverbrechen|NN	-0.0048	Kapitalverbrechens
Kapitulation|NN	-0.0048	Kapitulationen
Katastrophe|NN	-0.5027	Katastrophen
Keim|NN	-0.0048	Keims,Keime,Keimes,Keimen
Klage|NN	-0.0048	Klagen
Klischee|NN	-0.48	Klischees
Kläger|NN	-0.3673	Klägers,Klägern
Knappheit|NN	-0.0048
Kollaps|NN	-0.0048	Kollapses,Kollapsen,Kollapse
Kollision|NN	-0.3323	Kollisionen
Komplikation|NN	-0.0048	Komplikationen
Konflikt|NN	-0.0048	Konfliktes,Konflikte,Konflikts,Konflikten
Konfrontation|NN	-0.0048	Konfrontationen
Konjunkturrückgang|NN	-0.0048
Konkurrenz|NN	-0.0461	Konkurrenzen
Konkurrenzkampf|NN	-0.0494	Konkurrenzkampfs,Konkurrenzkämpfe,Konkurrenzkampfes,Konkurrenzkämpfen
Konkurs|NN	-0.0048	Konkurse,Konkurses,Konkursen
Kontroverse|NN	-0.3329	Kontroversen
Kopfschmerzen|NN	-0.1993
Korruption|NN	-0.3439	Korruptionen
Kostspieligkeit|NN	-0.0048
Krach|NN	-0.0048	Krächen,Kräche,Krachs,Kraches,Krache,Krachen
Krankheit|NN	-0.6858	Krankheiten
Krieg|NN	-0.5364	Kriegs,Krieges,Kriegen,Kriege
Kriminalität|NN	-0.0048
Krise|NN	-0.3621	Krisen
Kritik|NN	-0.5308	Kritiken
Kritiker|NN	-0.6494	Kritikers,Kritikern
Kränkung|NN	-0.0048	Kränkungen
Krüppel|NN	-0.3203	Krüppeln,Krüppels
Kurseinbruch|NN	-0.0048	Kurseinbruchs,Kurseinbrüche,Kurseinbruches,Kurseinbrüchen
Kälte|NN	-0.0048
Kündigung|NN	-0.0048	Kündigungen
Kürzung|NN	-0.341	Kürzungen
Langeweile|NN	-0.0377
Langweiler|NN	-0.0443	Langweilern,Langweilers
Last|NN	-0.0048	Lasten
Launenhaftigkeit|NN	-0.0048
Lebensgefahr|NN	-0.0048	Lebensgefahren
Leblosigkeit|NN	-0.0048
Leere|NN	-0.0048
Leichtsinn|NN	-0.3253	Leichtsinns
Leichtsinnsfehler|NN	-0.0371	Leichtsinnsfehlers,Leichtsinnsfehlern
Leid|NN	-0.5056	Leides,Leids
Leidende|NN	-0.0048
Liquidation|NN	-0.0048	Liquidationen
Lähmung|NN	-0.0048	Lähmungen
Löschung|NN	-0.0048	Löschungen
Lüge|NN	-0.5	Lügen
Lügner|NN	-0.4767	Lügnern,Lügners
Makel|NN	-0.1813	Makels,Makeln
Mangel|NN	-0.3669
Manipulation|NN	-0.3455	Manipulationen
Massaker|NN	-0.0048	Massakern,Massakers
Maßlosigkeit|NN	-0.0048
Melancholie|NN	-0.1859
Melodrama|NN	-0.0048	Melodramen
Merkwürdigkeit|NN	-0.0048	Merkwürdigkeiten
Minderung|NN	-0.0048	Minderungen
Minderwertigkeit|NN	-0.3201
Missachtung|NN	-0.0048
Missbrauch|NN	-0.0048	Missbräuchen,Missbrauches,Missbräuche,Missbrauchs
Missgeschick|NN	-0.0472	Missgeschicken,Missgeschicks,Missgeschicke,Missgeschickes
Missglück|NN	-0.0048
Misstrauen|NN	-0.4778	Misstrauens
Misstrauensantrag|NN	-0.0048	Misstrauensanträge,Misstrauensanträgen,Misstrauensantrages,Misstrauensantrags
Missverständnis|NN	-0.4756	Missverständniss,Missverständnise,Missverständnises,Missverständnisen
Mist|NN	-0.1732	Mists,Mistes
Mittellosigkeit|NN	-0.0048
Mittelmäßigkeit|NN	-0.0048
Monotonie|NN	-0.0048	Monotonien
Mord|NN	-0.3595	Mordes,Morde,Mords,Morden
Mutlosigkeit|NN	-0.0048
Müdigkeit|NN	-0.1995
Mühe|NN	-0.0048	Mühen
Müll|NN	-0.3377	Mülls
Nachlässigkeit|NN	-0.0048	Nachlässigkeiten
Nachteil|NN	-0.8102	Nachteilen,Nachteile,Nachteils,Nachteiles
Naivität|NN	-0.0048
Narr|NN	-0.335	Narren
Negativität|NN	-0.3155
Neid|NN	-0.4729	Neides,Neids
Nervosität|NN	-0.1833
Neustart|NN	-0.0504
Niedergang|NN	-0.0048	Niedergangs,Niederganges
Niedergeschlagenheit|NN	-0.0048
Niederlage|NN	-0.3651	Niederlagen
Not|NN	-0.2187	Nöten,Nöte
Notfall|NN	-0.0468	Notfalles,Notfällen,Notfalls,Notfälle
Notstand|NN	-0.0048	Notstandes,Notständen,Notstands,Notstände
Nutzlosigkeit|NN	-0.0048
Nötigung|NN	-0.0048	Nötigungen
Oberflächlichkeit|NN	-0.3299	Oberflächlichkeiten
Offensive|NN	-0.0048	Offensiven
Opposition|NN	-0.3631	Oppositionen
Panik|NN	-0.3429	Paniken
Panne|NN	-0.1901	Pannen
Pech|NN	-0.4823	Peches,Pechen,Peche,Pechs
Pessimismus|NN	-0.4715
Pest|NN	-0.3456
Pflicht|NN	-0.3577	Pflichten
Pleite|NN	-0.3323	Pleiten
Preissturz|NN	-0.0048	Preissturzs,Preisstürze,Preisstürzen,Preissturzes
Problem|NN	-0.3865	Probleme,Problemen,Problems
Propaganda|NN	-0.4893
Protest|NN	-0.3564
Provisorium|NN	-0.0048	Provisorien,Provisoriums
Provokation|NN	-0.0048	Provokationen
Qual|NN	-0.0402	Qualen
Qualitätsminderung|NN	-0.3096
Rache|NN	-0.3534
Ratlosigkeit|NN	-0.0048
Raub|NN	-0.0048	Raubs,Raubes,Rauben,Raube
Rebellen|NN	-0.0048
Rebellion|NN	-0.0048
Rechtswidrigkeit|NN	-0.0499	Rechtswidrigkeiten
Redundanz|NN	-0.0048	Redundanzen
Reinfall|NN	-0.0048	Reinfälle,Reinfalls,Reinfällen,Reinfalles
Reklamation|NN	-0.0048	Reklamationen
Reparatur|NN	-0.0048	Reparaturen
Revolte|NN	-0.0048	Revolten
Revolution|NN	-0.0048	Revolutionen
Rezession|NN	-0.3454	Rezessionen
Risiko|NN	-0.687
Rivale|NN	-0.0502	Rivalen
Rivalität|NN	-0.0048	Rivalitäten
Rost|NN	-0.0048	Rostes,Rosten,Roste,Rosts
Ruin|NN	-0.0048	Ruins
Rutsch|NN	-0.0048	Rutschs,Rutschen,Rutsches,Rutsche
Rätselraten|NN	-0.0048	Rätselratens
Räuber|NN	-0.3508	Räubers,Räubern
Rückfall|NN	-0.0048	Rückfalls,Rückfällen,Rückfälle,Rückfalles
Rückgang|NN	-0.2096	Rückgangs,Rückganges,Rückgängen,Rückgänge
Rückschritt|NN	-0.0048	Rückschritten,Rückschritts,Rückschritte,Rückschrittes
Rücksendung|NN	-0.3465	Rücksendungen
Rücksichtslosigkeit|NN	-0.0048	Rücksichtslosigkeiten
Rückstand|NN	-0.063	Rückständen,Rückstands,Rückstände,Rückstandes
Rückständigkeit|NN	-0.0048
Rücktritt|NN	-0.0048	Rücktritte,Rücktritts,Rücktrittes,Rücktritten
Rückzug|NN	-0.3501
Sabotage|NN	-0.0048	Sabotagen
Sackgasse|NN	-0.3455	Sackgassen
Schaden|NN	-0.5299	Schadens
Schadensbild|NN	-0.0048	Schadensbildern,Schadensbilder,Schadensbilds,Schadensbildes
Scham|NN	-0.4829
Schande|NN	-0.0048	Schanden
Scheidung|NN	-0.2023	Scheidungen
Scheitern|NN	-0.3524
Schelte|NN	-0.0048	Schelten
Scheußlichkeit|NN	-0.0048	Scheußlichkeiten
Schlachtfeld|NN	-0.0048	Schlachtfeldern,Schlachtfeldes,Schlachtfelder,Schlachtfelds
Schlag|NN	-0.0048	Schlages,Schlags,Schlägen,Schläge
Schlamperei|NN	-0.0048	Schlampereien
Schlechtigkeit|NN	-0.4646	Schlechtigkeiten
Schlitterbahn|NN	-0.0048	Schlitterbahnen
Schlägerei|NN	-0.0048	Schlägereien
Schmerz|NN	-0.0048	Schmerzes,Schmerzs,Schmerzen
Schmuggel|NN	-0.0048	Schmuggels,Schmuggeles
Schmutz|NN	-0.0542	Schmutzs,Schmutzes
Schock|NN	-0.0048	Schockn,Schocks,Schocke,Schocken,Schockes
Schramme|NN	-0.0048	Schrammen
Schreck|NN	-0.194	Schrecke,Schrecken,Schrecks,Schreckes
Schrott|NN	-0.0534	Schrottes,Schrotts,Schrotte,Schrotten
Schräglauf|NN	-0.0048	Schrägläufen,Schräglaufs,Schräglaufes,Schrägläufe
Schubs|NN	-0.0048	Schubse,Schubsen,Schubses
Schuld|NN	-0.9686	Schulden
Schuldner|NN	-0.0048	Schuldnern,Schuldners
Schuldnerin|NN	-0.0048	Schuldnerinnen
Schurke|NN	-0.3306	Schurken
Schwierigkeit|NN	-0.0483	Schwierigkeiten
Schwund|NN	-0.0048	Schwunds,Schwundes
Schwäche|NN	-0.5035	Schwächen
Schwächung|NN	-0.337	Schwächungen
Schäden|NN	-0.3731
Schädigung|NN	-0.0048	Schädigungen
Senkung|NN	-0.0545	Senkungen
Sinnlosigkeit|NN	-0.0048	Sinnlosigkeiten
Sintflut|NN	-0.3313
Skandal|NN	-0.0048	Skandales,Skandals,Skandale,Skandalen
Sklave|NN	-0.3281	Sklaven
Sklavenarbeit|NN	-0.0048
Sorge|NN	-0.3618	Sorgen
Spott|NN	-0.3357	Spotts,Spottes
Sprengstoff|NN	-0.0048	Sprengstoffes,Sprengstoffs,Sprengstoffe,Sprengstoffen
Sprengung|NN	-0.0048	Sprengungen
Stagnation|NN	-0.0048	Stagnationen
Stau|NN	-0.0438	Staus
Sterben|NN	-0.0539	Sterbens
Steuerhinterziehung|NN	-0.0048
Stilllegung|NN	-0.0048	Stilllegungen
Stillstand|NN	-0.0048	Stillstanden,Stillstandes,Stillstande,Stillstands
Stornierung|NN	-0.0048	Stornierungen
Stoß|NN	-0.0048	Stoßes,Stoßs,Stößen,Stöße
Strafverfahren|NN	-0.0048	Strafverfahrens
Strapaze|NN	-0.0048	Strapazen
Streik|NN	-0.0048	Streiks
Streit|NN	-0.6632	Streites,Streits,Streiten,Streite
Strenge|NN	-0.0048
Stress|NN	-0.0048	Stresss,Stresses,Stresse,Stressen
Streß|NN	-0.0048
Sturheit|NN	-0.1894
Sturz|NN	-0.6316	Sturzs,Sturzen,Stürze,Sturzes,Stürzen,Sturze
Störung|NN	-0.3569	Störungen
Sucht|NN	-0.3505	Süchte,Süchten
Sündenbock|NN	-0.3285	Sündenbockes,Sündenböcke,Sündenböcken,Sündenbocks
Tabu|NN	-0.0048
Terror|NN	-0.0048	Terrors
Terrorismus|NN	-0.3553
Teuerung|NN	-0.322	Teuerungen
Teuerungsrate|NN	-0.0048	Teuerungsraten
Teufelskreis|NN	-0.479	Teufelskreiss,Teufelskreise,Teufelskreisen,Teufelskreises
Tod|NN	-0.0697	Tods,Todes,Tode,Toden
Todesfall|NN	-0.0048	Todesfälle,Todesfällen,Todesfalls,Todesfalles
Todesstrafe|NN	-0.0048	Todesstrafen
Torheit|NN	-0.0048	Torheiten
Totschlag|NN	-0.0048	Totschlägen,Totschlags,Totschlages,Totschläge
Tragödie|NN	-0.0048	Tragödien
Trauer|NN	-0.0048
Trauma|NN	-0.0048	Traumen
Traurigkeit|NN	-0.0457	Traurigkeiten
Trennung|NN	-0.5071	Trennungen
Tristesse|NN	-0.0555	Tristessen
Trostlosigkeit|NN	-0.0048
Trott|NN	-0.0048	Trottes,Trotten,Trotts,Trotte
Trugschluß|NN	-0.0048
Trägheit|NN	-0.1937	Trägheiten
Träne|NN	-0.0562	Tränen
Trübsal|NN	-0.189	Trübsalen,Trübsale
Turbolenz|NN	-0.0048
Turbolenzen|NN	-0.0048
Tyrannei|NN	-0.3243	Tyranneien
Täuschung|NN	-0.3445	Täuschungen
Umtausch|NN	-0.343	Umtauschen,Umtausches,Umtauschs,Umtäusche,Umtausche,Umtäuschen
Unbehagen|NN	-0.3291	Unbehagens
Unbehaglichkeit|NN	-0.0048	Unbehaglichkeiten
Unbeliebtheit|NN	-0.0048
Unbequemlichkeit|NN	-0.0048	Unbequemlichkeiten
Unbestimmtheit|NN	-0.0537
Undankbarkeit|NN	-0.0048
Unehrlichkeit|NN	-0.0048
Uneinigkeit|NN	-0.3289	Uneinigkeiten
Unerbittlichkeit|NN	-0.0048
Unerträglichkeit|NN	-0.0048
Unfall|NN	-0.0048	Unfällen,Unfalls,Unfälle,Unfalles
Unfreundlichkeit|NN	-0.3085	Unfreundlichkeiten
Unfug|NN	-0.3394
Unfähigkeit|NN	-0.1896
Ungeduld|NN	-0.4655
Ungehorsamkeit|NN	-0.0048
Ungenauigkeit|NN	-0.0048	Ungenauigkeiten
Ungerechtigkeit|NN	-0.3419	Ungerechtigkeiten
