Abmachung|NN	0.0040	Abmachungen
Empathie|NN	0.0040
Empfehlung|NN	0.0040	Empfehlungen
Engagement|NN	0.2157	Engagements
Entlastung|NN	0.0040	Entlastungen
Entlohnung|NN	0.0040	Entlohnungen
Entschluß|NN	0.0804	Entschlußs,Entschlußes
Entschlüsselung|NN	0.0040	Entschlüsselungen
Entschädigung|NN	0.0040	Entschädigungen
Entspannung|NN	0.0875	Entspannungen
Entwirrung|NN	0.0040	Entwirrungen
Erbe|NN	0.0040	Erben,Erbes
Erfahrung|NN	0.0040	Erfahrungen
Erfolg|NN	0.3446	Erfolgs,Erfolge,Erfolgen,Erfolges
Erfolgserlebnis|NN	0.0884	Erfolgserlebnisses,Erfolgserlebnissen,Erfolgserlebnisse
Erfüllung|NN	0.0040	Erfüllungen
Ergiebigkeit|NN	0.0040
Ergänzung|NN	0.0040	Ergänzungen
Erhaltung|NN	0.0040
Erholung|NN	0.0865
Erhöhung|NN	0.0040	Erhöhungen
Erlaubnis|NN	0.0040	Erlaubnisse,Erlaubnissen
Erleichterung|NN	0.0040	Erleichterungen
Erleuchtung|NN	0.0040	Erleuchtungen
Erlösung|NN	0.0040	Erlösungen
Ermutigung|NN	0.0040	Ermutigungen
Erneuerung|NN	0.0040	Erneuerungen
Ernsthaftigkeit|NN	0.0040
Ersparnis|NN	0.0040	Ersparnise,Ersparnisen,Ersparnisse
Ertrag|NN	0.0040	Erträgen,Ertrags,Erträge,Ertrages
Erweiterung|NN	0.0040	Erweiterungen
Erzeugnis|NN	0.0040	Erzeugnisen,Erzeugnisses,Erzeugnises,Erzeugnise,Erzeugniss,Erzeugnissen,Erzeugnisse
Experte|NN	0.0040	Experten
Expertise|NN	0.0040	Expertisen
Exzellenz|NN	0.0040	Exzellenzen
Fairness|NN	0.0040
Faszination|NN	0.0040
Favorit|NN	0.0040	Favoriten
Feier|NN	0.0829	Feiern
Fertigkeit|NN	0.0040	Fertigkeiten
Fest|NN	0.2346	Festes,Fests,Feste,Festen
Festakt|NN	0.0040	Festakts,Festaktes,Festakte,Festakten
Festigkeit|NN	0.0040
Festlichkeit|NN	0.0040	Festlichkeiten
Finanzierung|NN	0.0040	Finanzierungen
Fitness|NN	0.0851
Flair|NN	0.2216	Flairs
Fleiß|NN	0.3113	Fleißes,Fleißs
Flexibilität|NN	0.0040
Fortschritt|NN	0.0040
Freiheit|NN	0.0040	Freiheiten
Freispruch|NN	0.0040	Freisprüchen,Freisprüche,Freispruches,Freispruchs
Freude|NN	0.6502	Freuden
Freund|NN	0.0116	Freunden,Freundes,Freunde,Freunds
Freundlichkeit|NN	0.0913	Freundlichkeiten
Freundschaft|NN	0.2059	Freundschaften
Frieden|NN	0.0040	Friedens
Fruchtbarkeit|NN	0.0040
Funktionsfähigkeit|NN	0.0040
Furchtlosigkeit|NN	0.0040
Fähigkeit|NN	0.0892	Fähigkeiten
Förderung|NN	0.0829	Förderungen
Führung|NN	0.0040	Führungen
Fülle|NN	0.0040	Füllen
Gabe|NN	0.0747	Gaben
Garantie|NN	0.0040	Garantien
Gastfreundlichkeit|NN	0.0040	Gastfreundlichkeiten
Gedenken|NN	0.0040	Gedenkens
Geduld|NN	0.0789
Gefallen|NN	0.3349	Gefallens
Gehaltszulage|NN	0.0040	Gehaltszulagen
Gelassenheit|NN	0.0721
Geldgeber|NN	0.0040	Geldgebers,Geldgebern
Gemeinschaft|NN	0.0040	Gemeinschaften
Genauigkeit|NN	0.0040
Genehmigung|NN	0.0040	Genehmigungen
Genesung|NN	0.0040	Genesungen
Genialität|NN	0.0040
Genie|NN	0.0697	Genies
Genuss|NN	0.0701	Genüssen,Genusss,Genüsse,Genusses
Genuß|NN	0.073	Genußes,Genüßen,Genüße,Genußs
Gerechtigkeit|NN	0.0040
Geräumigkeit|NN	0.0040
Geschenk|NN	0.4792	Geschenken,Geschenks,Geschenkes,Geschenke
Geschick|NN	0.0040	Geschicke,Geschicks,Geschickes,Geschicken
Geschicklichkeit|NN	0.0040
Gesundheit|NN	0.0040
Gesundung|NN	0.0040
Gewinn|NN	0.0040	Gewinns,Gewinnen,Gewinne,Gewinnes
Gewinner|NN	0.0040	Gewinnern,Gewinners
Gewährleistung|NN	0.0040	Gewährleistungen
Glamour|NN	0.0040	Glamours
Glanz|NN	0.0040	Glanzs,Glanzes
Glaube|NN	0.0040	Glaubes
Glaubwürdigkeit|NN	0.0040	Glaubwürdigkeiten
Gleichstellung|NN	0.0040
Glück|NN	0.2452	Glücken,Glückes,Glücks,Glücke
Glückseligkeit|NN	0.0040	Glückseligkeiten
Glückwunsch|NN	0.2193	Glückwünschen,Glückwünsche,Glückwunschs,Glückwunsches
Gnade|NN	0.0040	Gnaden
Gratulation|NN	0.428	Gratulationen
Grenzenlosigkeit|NN	0.0040
Großzügigigkeit|NN	0.0040
Größe|NN	0.0040	Größen
Gründlichkeit|NN	0.0040
Gunst|NN	0.0040
Gönner|NN	0.0040	Gönnern,Gönners
Gönnerschaft|NN	0.0040
Gültigkeit|NN	0.0040
Güte|NN	0.0040
Hammer|NN	0.0040	Hammern,Hammers
Harmonie|NN	0.0795	Harmonien
Harmonisierung|NN	0.0040	Harmonisierungen
Hartnäckigkeit|NN	0.0040
Heiligtum|NN	0.0040	Heiligtumes,Heiligtümern,Heiligtümer,Heiligtums
Heilung|NN	0.0040	Heilungen
Heirat|NN	0.0040	Heiraten
Heiterkeit|NN	0.0040
Helligkeit|NN	0.0040	Helligkeiten
Herrlichkeit|NN	0.0040	Herrlichkeiten
Highlight|NN	0.0040	Highlights
Hilfe|NN	0.0040	Hilfen
Hilfsbereitschaft|NN	0.0040
Hingabe|NN	0.0040
Hochdruckgebiet|NN	0.0040	Hochdruckgebiete,Hochdruckgebiets,Hochdruckgebieten,Hochdruckgebietes
Hochruf|NN	0.0040	Hochrufes,Hochrufen,Hochrufs,Hochrufe
Hochwertigkeit|NN	0.0040
Hoffnung|NN	0.2038	Hoffnungen
Humanität|NN	0.0040
Humor|NN	0.3296	Humoren,Humore,Humors
Hurra|NN	0.0040	Hurras
Hurrageschrei|NN	0.0040	Hurrageschreis
Höflichkeit|NN	0.0040	Höflichkeiten
Höhepunkt|NN	0.0040	Höhepunkten,Höhepunktes,Höhepunkts,Höhepunkte
Individualität|NN	0.0040	Individualitäten
Innovation|NN	0.0040	Innovationen
Inspiration|NN	0.0040	Inspirationen
Integrität|NN	0.0040
Intellekt|NN	0.0040	Intellekts,Intellekten,Intellektes,Intellekte
Intelligenz|NN	0.0040	Intelligenzen
Interesse|NN	0.0040
Interessenvertretung|NN	0.0040	Interessenvertretungen
Investition|NN	0.0040	Investitionen
Jubel|NN	0.0652	Jubels
Jubiläum|NN	0.0040
Kauf|NN	0.0040	Kaufs,Kaufes,Käufen,Käufe
Klarheit|NN	0.0040	Klarheiten
Komfort|NN	0.1808	Komforts
Kommunikation|NN	0.0040	Kommunikationen
Kompatibilität|NN	0.0040	Kompatibilitäten
Kompensation|NN	0.0040	Kompensationen
Kompetenz|NN	0.0040	Kompetenzen
Kompliment|NN	0.3323	Komplimente,Kompliments,Komplimentes,Komplimenten
Kompromiss|NN	0.0040	Kompromisses,Kompromisss,Kompromisse,Kompromissen
Konjunkturaufschwung|NN	0.0040	Konjunkturaufschwünge,Konjunkturaufschwungs,Konjunkturaufschwüngen,Konjunkturaufschwunges
Konsens|NN	0.0040	Konsense,Konsensen,Konsenses
Konsistenz|NN	0.0040
Konsolidierung|NN	0.0040	Konsolidierungen
Konstanz|NN	0.0040
Konsultation|NN	0.0040	Konsultationen
Kontinuität|NN	0.0040
Kooperation|NN	0.0040	Kooperationen
Koordinierung|NN	0.0040	Koordinierungen
Korrektheit|NN	0.0040
Korrektur|NN	0.0040	Korrekturen
Kostbarkeit|NN	0.0040	Kostbarkeiten
Kraft|NN	0.0040	Kräfte,Kräften
Kreativität|NN	0.0768
Kulanz|NN	0.0040
Kur|NN	0.0859	Kuren
Langlebigkeit|NN	0.0040
Laune|NN	0.1085	Launen
Lebensfähigkeit|NN	0.0040	Lebensfähigkeiten
Legalität|NN	0.0040
Legitimität|NN	0.0040
Leichtigkeit|NN	0.1725
Leidenschaft|NN	0.0040	Leidenschaften
Leistung|NN	0.0040	Leistungen
Leistungsfähigkeit|NN	0.0040	Leistungsfähigkeiten
Liberalismus|NN	0.0040
Liebe|NN	0.0985	Lieben
Liebling|NN	0.0873	Lieblings,Lieblinge,Lieblingen
Linderung|NN	0.0040	Linderungen,Linderungnen
Lob|NN	0.7246	Loben,Lobs,Lobes,Lobe
Lohn|NN	0.0040	Löhne,Löhnen,Lohns,Lohnes
Loyalität|NN	0.0040	Loyalitäten
Luxus|NN	0.0040
Lösung|NN	0.0040	Lösungen
Macht|NN	0.0040	Mächten,Mächte
Magie|NN	0.0040	Magien
Majestät|NN	0.0040	Majestäten
Maximum|NN	0.0040
Meisterschaft|NN	0.0040	Meisterschaften
Meisterwerk|NN	0.0040	Meisterwerken,Meisterwerks,Meisterwerkes,Meisterwerke
Menschenwürde|NN	0.0040
Menschlichkeit|NN	0.0040	Menschlichkeiten
Milde|NN	0.0040
Mitgefühl|NN	0.0040	Mitgefühles,Mitgefühls
Mobilität|NN	0.0040
Modernisierung|NN	0.0040	Modernisierungen
Modernität|NN	0.0040	Modernitäten
Moral|NN	0.0040	Moralen
Motivation|NN	0.0040	Motivationen
Mut|NN	0.6093	Muts,Mutes
Möglichkeit|NN	0.0040	Möglichkeiten
Nachhaltigkeit|NN	0.0040
Nutzen|NN	0.0040	Nutzens
Nähe|NN	0.0911
Oase|NN	0.0040
Optimalität|NN	0.0040
Optimismus|NN	0.0882
Optimist|NN	0.0836	Optimisten
Ordnungsmäßigkeit|NN	0.0040
Originalität|NN	0.0040	Originalitäten
Pannenhilfe|NN	0.0040	Pannenhilfen
Paradies|NN	0.0040	Paradieses,Paradiesen,Paradiess,Paradiese
Partner|NN	0.0040	Partners,Partnern
Partnerschaft|NN	0.0779	Partnerschaften
Perfektion|NN	0.0040	Perfektionen
Perfektionismus|NN	0.0040
Perfektionist|NN	0.0040	Perfektionisten
Pflege|NN	0.0040
Phantasie|NN	0.075	Phantasien
Plausibilität|NN	0.0040
Positivität|NN	0.0040
Potenz|NN	0.0040	Potenzen
Pracht|NN	0.0040	Prachtnen,Prachten
Praktikabilität|NN	0.0040
Premium|NN	0.0040	Premien,Premiums
Prestige|NN	0.0040	Prestiges
Privileg|NN	0.0040
Produktivität|NN	0.0040
Profit|NN	0.0040
Progression|NN	0.0040
Prächtigkeit|NN	0.0040
Präferenz|NN	0.0040	Präferenzen
Präzision|NN	0.0040
Pünktlichkeit|NN	0.0040
Qualifikation|NN	0.0040	Qualifikationen
Qualität|NN	0.0040	Qualitäten
Qualitätsverbesserung|NN	0.0040	Qualitätsverbesserungen
Rat|NN	0.0040
Recht|NN	0.0040	Rechten,Rechte,Rechts,Rechtes
Rechtmäßigkeit|NN	0.0040
Rechtsgültigkeit|NN	0.0040
Rehabilitation|NN	0.0040	Rehabilitationen
Reichtum|NN	0.0040	Reichtumes,Reichtums,Reichtümer,Reichtümern
Reinheit|NN	0.0040
Reinigung|NN	0.0040	Reinigungen
Relevanz|NN	0.0040	Relevanzen
Renovierung|NN	0.0040	Renovierungen
Rentabilität|NN	0.0040
Reparatur|NN	0.0040	Reparaturen
Respekt|NN	0.0040	Respekte,Respekts,Respektes,Respekten
Rettung|NN	0.0707	Rettungen
Robustheit|NN	0.0040
Romantik|NN	0.0688
Ruhe|NN	0.5017
Ruhm|NN	0.0040	Ruhms,Ruhmes
Rückendeckung|NN	0.0040
Rückgrat|NN	0.0040	Rückgrate,Rückgrats,Rückgrates,Rückgraten
Rücksicht|NN	0.0040
Rückversicherung|NN	0.0040
Sauberkeit|NN	0.0755
Schatz|NN	0.1096	Schätze,Schatzes,Schätzen,Schatzs
Schenkung|NN	0.0040	Schenkungen
Schirmherr|NN	0.0040	Schirmherren
Schirmherrschaft|NN	0.0040	Schirmherrschaftnen,Schirmherrschaften
Schlauheit|NN	0.0040
Schmuck|NN	0.0040	Schmucks,Schmucken,Schmuckes,Schmucke
Schnelligkeit|NN	0.0040	Schnelligkeiten
Schnäppchen|NN	0.0040	Schnäppchens
Schuldlosigkeit|NN	0.0040
Schutz|NN	0.0040	Schutzs,Schützen,Schutze,Schutzes,Schutzen,Schütze
Schutzmaßnahmen|NN	0.0040
Schwung|NN	0.238	Schwunges,Schwungs,Schwüngen,Schwünge
Schönheit|NN	0.3286	Schönheiten
Selbstständigkeit|NN	0.0040
Sensation|NN	0.0040	Sensationen
Seriösität|NN	0.0040
Sicherheit|NN	0.0040	Sicherheiten
Siegeszug|NN	0.0040	Siegeszuges,Siegeszüge,Siegeszugs,Siegeszügen
Sinn|NN	0.0040	Sinns,Sinne,Sinnes,Sinnen
Solidarität|NN	0.0040
Sorgfältigkeit|NN	0.0040
Sorglosigkeit|NN	0.0040
Sparsamkeit|NN	0.0040	Sparsamkeiten
Spass|NN	0.2429	Spasses,Spässe,Spasss,Spässen
Spaß|NN	0.2823
Spende|NN	0.0040	Spenden
Spezialität|NN	0.0040	Spezialitäten
Sprung|NN	0.0040	Sprüngen,Sprunges,Sprünge,Sprungs
Stabilität|NN	0.0040
Standhaftigkeit|NN	0.0040
Stattlichkeit|NN	0.0040
Steigerung|NN	0.0040	Steigerungen
Steigflug|NN	0.0040
Stifter|NN	0.0040
Stiftung|NN	0.0040	Stiftungen
Stil|NN	0.3398	Stile,Stilen,Stiles,Stils
Stimulation|NN	0.0040	Stimulationen
Stolz|NN	0.0797	Stolzes,Stolzs
Stärke|NN	0.0040	Stärken
Stütze|NN	0.0040
Subvention|NN	0.0040	Subventionen
Suchtfaktor|NN	0.0040	Suchtfaktors,Suchtfaktoren
Superlativ|NN	0.0040	Superlativen,Superlative,Superlativs
Symbiose|NN	0.0040	Symbiosen
Sympathie|NN	0.0040
Talent|NN	0.3352	Talents,Talenten,Talentes,Talente
Toleranz|NN	0.0040	Toleranzen
Tradition|NN	0.0040	Traditionen
Treue|NN	0.2019
Triumph|NN	0.0040	Triumphen,Triumphes,Triumphe,Triumphs
Trophäe|NN	0.0040	Trophäen
Trost|NN	0.0706	Trosts,Trostes
Umbruch|NN	0.0040	Umbruches,Umbrüche,Umbruchs,Umbrüchen
Unabhängigkeit|NN	0.0040	Unabhängigkeiten
Unbesiegbarkeit|NN	0.0040
Unerschrockenheit|NN	0.0040
Unfehlbarkeit|NN	0.0040
Unparteilichkeit|NN	0.0040
Unschuld|NN	0.0040
Unsterblichkeit|NN	0.0040
Unterstützung|NN	0.0040	Unterstützungen
Unverwundbarkeit|NN	0.0040
Unverzichtbarkeit|NN	0.0040
Unwiderstehlichkeit|NN	0.0040
Upgrade|NN	0.0040
Verantwortung|NN	0.0040	Verantwortungen
Verband|NN	0.0040	Verbände,Verbänden,Verbands,Verbandes
Verbesserung|NN	0.0040	Verbesserungen
Verbund|NN	0.0040
Verbundenheit|NN	0.0040
Verbündete|NN	0.0040
Verdienst|NN	0.0040	Verdienstes,Verdienste,Verdiensts,Verdiensten
Veredelung|NN	0.0040
Verehrung|NN	0.0040
Vereinbarung|NN	0.0040	Vereinbarungen
Vereinfachung|NN	0.0040	Vereinfachungen
Vereinigung|NN	0.0040	Vereinigungen
Vererbung|NN	0.0040	Vererbungen
Verfeinerung|NN	0.0040	Verfeinerungen
Vergebung|NN	0.0040	Vergebungen
Vergrößerung|NN	0.0040	Vergrößerungen
Vergötterung|NN	0.0040	Vergötterungen
Verhandelung|NN	0.0040
Verlobung|NN	0.0040	Verlobungen
Verlöbnis|NN	0.0040	Verlöbnissen,Verlöbnisen,Verlöbnise,Verlöbniss,Verlöbnisses,Verlöbnisse,Verlöbnises
Vermittlung|NN	0.0040
Vernunft|NN	0.0040
Verschönerung|NN	0.0040	Verschönerungen
Versicherung|NN	0.0040	Versicherungen
Versprechen|NN	0.0040	Versprechens
Verstand|NN	0.0040	Verstands,Verstandes
Verständnis|NN	0.0040	Verständnissen,Verständnisse,Verständnisses,Verständniss
Verstärkung|NN	0.0040	Verstärkungen
Versöhnung|NN	0.0040	Versöhnungen
Verteidiger|NN	0.0040	Verteidigern,Verteidigers
Verteidigung|NN	0.0040	Verteidigungen
Vertrag|NN	0.0040	Verträgen,Verträge,Vertrags,Vertrages
Vertrauen|NN	0.3512	Vertrauens
Vertrauenswürdigkeit|NN	0.0040
Vertrauter|NN	0.0040
Vertrautheit|NN	0.0040	Vertrautheiten
Verwendbarkeit|NN	0.0040
Verwirklichung|NN	0.0040	Verwirklichungen
Vielseitigkeit|NN	0.0040
Vielzahl|NN	0.0040
Visionär|NN	0.0040	Visionäres,Visionäre,Visionärs,Visionären
Vitalität|NN	0.0040
Vollständigkeit|NN	0.0040
Vorbereitung|NN	0.0040	Vorbereitungen
Vorsicht|NN	0.0040
Vorsorge|NN	0.0040	Vorsorgen
Vorteil|NN	0.0040	Vorteilen,Vorteils,Vorteiles,Vorteile
Wachsamkeit|NN	0.0040
Wachstum|NN	0.0040	Wachstums
Wahrheit|NN	0.0040	Wahrheiten
Weichheit|NN	0.0040	Weichheiten
Weisheit|NN	0.0040	Weisheiten
Weitsichtigkeit|NN	0.0040
Wert|NN	0.0040
Wertschätzung|NN	0.0040
Wertsteigerung|NN	0.0040	Wertsteigerungen
Widerstandsfähigkeit|NN	0.0040
Wiederbelebung|NN	0.0040
Wiedergutmachung|NN	0.0040	Wiedergutmachungen
Wiederherstellung|NN	0.0040
Wiederkehr|NN	0.0040
Wiedervereinigung|NN	0.0040	Wiedervereinigungen
Wille|NN	0.0040
Wirksamkeit|NN	0.0040
Wissen|NN	0.0040
Witz|NN	0.0040	Witzen,Witzes,Witze
Wohlergehen|NN	0.0040	Wohlergehens
Wohlgefallen|NN	0.0040	Wohlgefallens
Wohlstand|NN	0.0040	Wohlstandes,Wohlstands
Wohltat|NN	0.0040	Wohltaten
Wohltäter|NN	0.0040	Wohltäters,Wohltätern
Wohltätigkeit|NN	0.0040
Wohlwollen|NN	0.0040	Wohlwollens
Wunder|NN	0.0741	Wundern,Wunders
Wärme|NN	0.0040
Zenit|NN	0.0040	Zenites,Zeniten,Zenits,Zenite
Ziel|NN	0.0040	Ziels,Ziele,Zieles,Zielen
Zuflucht|NN	0.0040	Zufluchten
Zufriedenheit|NN	0.2207
Zugabe|NN	0.0882	Zugaben
Zugänglichkeit|NN	0.0040
Zulage|NN	0.0040	Zulagen
Zulässigkeit|NN	0.0040
Zuneigung|NN	0.0040	Zuneigungen
Zusammenarbeit|NN	0.0893	Zusammenarbeiten
Zusammengehörigkeit|NN	0.0040
Zusammenhalt|NN	0.1947	Zusammenhaltes,Zusammenhalte,Zusammenhalts,Zusammenhalten
Zuschuß|NN	0.0040	Zuschüße,Zuschußes,Zuschüßen,Zuschußs
Zustimmung|NN	0.0040	Zustimmungen
Zuverlässigkeit|NN	0.0040
Zuversicht|NN	0.0727
abgesichert|ADJX	0.0040
abmachen|VVINF	0.0040	abgemacht,abmachst,abmach,abmachet,abmachten,abmacht,abmache,abmachtest,abmachte,abmachest,abmachtet
abschließen|VVINF	0.0040
absolut|ADJX	0.2418	absoluterem,absolutem,absolutestem,absolutesten,absoluten,absolutere,absolutestes,absolutester,absoluteren,absolutes,absolutest,absoluteres,absoluterer,absoluter,absolute,absoluteste
abstimmen|VVINF	0.0040	abstimmtest,abstimmtet,abstimmt,abstimmest,abstimmet,abstimmten,abgestimmt,abstimmte,abstimmst,abstimme,abstimm
abwechslungsreich|ADJX	0.5797	abwechslungsreichster,abwechslungsreichere,abwechslungsreicheren,abwechslungsreicherem,abwechslungsreichsten,abwechslungsreichstem,abwechslungsreichst,abwechslungsreichstes,abwechslungsreichste,abwechslungsreichen,abwechslungsreichem,abwechslungsreicherer,abwechslungsreicher,abwechslungsreicheres,abwechslungsreiches,abwechslungsreiche
addieren|VVINF	0.0040	addierst,addierten,addierest,addiere,addiertet,addierte,addier,addiertest,addieret,addiert
adrett|ADJX	0.1987	adrettestes,adrettere,adretteren,adrettester,adrettestem,adrettesten,adretterem,adrettem,adretten,adretteste,adrette,adretter,adrettest,adrettes,adretteres,adretterer
agil|ADJX	0.1959	agilstes,agilster,agileren,agilerem,agilsten,agilstem,agilere,agileres,agiles,agiler,agilst,agilen,agilem,agilerer,agilste,agile
akkurat|ADJX	0.0040	akkuratester,akkuratestes,akkuratest,akkuratem,akkuraten,akkurater,akkurates,akkurateres,akkuratere,akkurate,akkuraterer,akkuratesten,akkuraterem,akkuratestem,akkurateren,akkurateste
aktiv|ADJX	0.0911	aktivere,aktiveren,aktiverem,aktivste,aktivst,aktivem,aktiven,aktiver,aktives,aktivster,aktiverer,aktivstes,aktiveres,aktive,aktivstem,aktivsten
aktualisieren|VVINF	0.0040	aktualisiertest,aktualisieret,aktualisiert,aktualisiere,aktualisierte,aktualisierest,aktualisiertet,aktualisierst,aktualisier,aktualisierten
aktuell|ADJX	0.0040	aktuellere,aktueller,aktuelle,aktuellen,aktuellem,aktuellerem,aktuelles,aktuellsten,aktuellstem,aktuellst,aktuelleren,aktuellste,aktuelleres,aktuellerer,aktuellstes,aktuellster
akzeptabel|ADJX	0.0040	akzeptabelster,akzeptabelst,akzeptabler,akzeptabelstem,akzeptabelsten,akzeptablen,akzeptablere,akzeptablem,akzeptabelste,akzeptable,akzeptablerem,akzeptableres,akzeptablerer,akzeptables,akzeptabelstes,akzeptableren
akzeptieren|VVINF	0.0040	akzeptiertet,akzeptiertest,akzeptierest,akzeptiert,akzeptieret,akzeptierten,akzeptierst,akzeptiere,akzeptierte,akzeptier
allerbeste|ADJX	0.0040	allerbesteem,allerbesteerer,allerbestee,allerbesteeres,allerbesteeren,allerbesteerem,allerbestest,allerbesteen,allerbesteer,allerbestees,allerbesteste,allerbestestem,allerbestester,allerbestesten,allerbesteere,allerbestestes
